num;cartoprox_domaine;code_domaine;OccupSol;emis_profil;recepteurs;xc;yc;xb;yb;rues;noeuds;ponct
1;a7_paca;632500_4792500;;0;1;632500;4792500;632500;4792500;0;0;0
2;a7_paca;632500_4795500;;0;1;632500;4795500;632500;4795500;0;0;0
3;a7_paca;632500_4798500;;0;1;632500;4798500;632500;4798500;0;0;0
4;a7_paca;632500_4801500;;0;1;632500;4801500;632500;4801500;0;0;0
5;a7_paca;632500_4804500;;0;1;632500;4804500;632500;4804500;0;0;0
6;a7_paca;632500_4807500;;0;1;632500;4807500;632500;4807500;0;0;0
7;a7_paca;632500_4810500;;0;1;632500;4810500;632500;4810500;0;0;0
8;a7_paca;632500_4813500;;0;1;632500;4813500;632500;4813500;0;0;0
9;a7_paca;632500_4816500;;0;1;632500;4816500;632500;4816500;0;0;0
10;a7_paca;632500_4819500;;0;1;632500;4819500;632500;4819500;0;0;0
11;a7_paca;632500_4822500;;0;1;632500;4822500;632500;4822500;0;0;0
12;a7_paca;632500_4825500;;0;1;632500;4825500;632500;4825500;0;0;0
13;a7_paca;632500_4828500;;0;1;632500;4828500;632500;4828500;0;0;0
14;a7_paca;632500_4831500;;0;1;632500;4831500;632500;4831500;0;0;0
15;a7_paca;632500_4834500;;0;1;632500;4834500;632500;4834500;0;0;0
16;a7_paca;632500_4837500;;0;1;632500;4837500;632500;4837500;0;0;0
17;a7_paca;632500_4840500;;0;1;632500;4840500;632500;4840500;0;0;0
18;a7_paca;632500_4843500;;0;1;632500;4843500;632500;4843500;0;0;0
19;a7_paca;632500_4846500;;0;1;632500;4846500;632500;4846500;0;0;0
20;a7_paca;632500_4849500;;0;1;632500;4849500;632500;4849500;0;0;0
21;a7_paca;632500_4852500;;0;1;632500;4852500;632500;4852500;0;0;0
22;a7_paca;632500_4855500;;0;1;632500;4855500;632500;4855500;0;0;0
23;a7_paca;632500_4858500;;0;1;632500;4858500;632500;4858500;0;0;0
24;a7_paca;632500_4861500;;0;1;632500;4861500;632500;4861500;0;0;0
25;a7_paca;632500_4864500;;0;1;632500;4864500;632500;4864500;0;0;0
26;a7_paca;632500_4867500;;0;1;632500;4867500;632500;4867500;0;0;0
27;a7_paca;632500_4870500;;0;1;632500;4870500;632500;4870500;0;0;0
