num;cartoprox_domaine;code_domaine;OccupSol;emis_profil;recepteurs;xc;yc;xb;yb;rues;noeuds;ponct
1;lyon_metro;629500_5032500;RURALE;0;9;629500;5032500;629500;5032500;0;0;0
2;lyon_metro;629500_5035500;RURALE;0;9;629500;5035500;629500;5035500;0;0;0
3;lyon_metro;629500_5038500;RURALE;0;9;629500;5038500;629500;5038500;0;0;0
4;lyon_metro;629500_5041500;RURALE;0;9;629500;5041500;629500;5041500;0;0;28
5;lyon_metro;629500_5044500;RURALE;0;19;629500;5044500;629610;5.04466e+06;27;29;28
6;lyon_metro;629500_5047500;RURALE;0;37;629500;5047500;629937;5.0475e+06;52;56;28
7;lyon_metro;629500_5050500;RURALE;15;478;629500;5050500;630648;5.04978e+06;45;49;28
8;lyon_metro;629500_5053500;RURALE;0;16;629500;5053500;629419;5.05348e+06;11;12;28
9;lyon_metro;629500_5056500;RURALE;0;9;629500;5056500;629500;5056500;0;0;0
10;lyon_metro;629500_5059500;RURALE;0;9;629500;5059500;629500;5059500;0;0;0
11;lyon_metro;629500_5062500;RURALE;0;9;629500;5062500;629500;5062500;0;0;0
12;lyon_metro;629500_5065500;RURALE;0;14;629500;5065500;629279;5.06551e+06;10;13;28
13;lyon_metro;629500_5068500;RURALE;0;16;629500;5068500;629426;5068520;32;35;28
14;lyon_metro;629500_5071500;RURALE;0;22;629500;5071500;629747;5.07142e+06;32;33;28
15;lyon_metro;629500_5074500;RURALE;0;20;629500;5074500;629680;5.07462e+06;35;36;28
16;lyon_metro;629500_5077500;RURALE;0;22;629500;5077500;629826;5.07714e+06;14;15;28
17;lyon_metro;629500_5080500;RURALE;0;9;629500;5080500;629500;5080500;0;0;28
18;lyon_metro;629500_5083500;RURALE;0;9;629500;5083500;629500;5083500;0;0;0
19;lyon_metro;629500_5086500;RURALE;0;9;629500;5086500;629500;5086500;0;0;0
20;lyon_metro;629500_5089500;RURALE;0;9;629500;5089500;629500;5089500;0;0;28
21;lyon_metro;632500_5032500;RURALE;0;9;632500;5032500;632500;5032500;0;0;28
22;lyon_metro;632500_5035500;RURALE;0;9;632500;5035500;632500;5035500;0;0;0
23;lyon_metro;632500_5038500;RURALE;0;9;632500;5038500;632500;5038500;0;0;0
24;lyon_metro;632500_5041500;RURALE;0;9;632500;5041500;632500;5041500;0;0;28
25;lyon_metro;632500_5044500;RURALE;0;34;632500;5044500;631991;5.04511e+06;41;43;28
26;lyon_metro;632500_5047500;RURALE;15;4691;632500;5047500;632815;5.04721e+06;154;157;28
27;lyon_metro;632500_5050500;RURALE;15;5321;632500;5050500;632561;5.05038e+06;147;151;28
28;lyon_metro;632500_5053500;RURALE;15;2033;632500;5053500;633083;5.05291e+06;42;43;28
29;lyon_metro;632500_5056500;RURALE;0;19;632500;5056500;632722;5.05626e+06;11;12;28
30;lyon_metro;632500_5059500;RURALE;0;13;632500;5059500;632201;5.05957e+06;0;0;0
31;lyon_metro;632500_5062500;RURALE;0;14;632500;5062500;632227;5.06253e+06;13;14;28
32;lyon_metro;632500_5065500;URBAINE;15;1841;632500;5065500;633512;5.06662e+06;178;169;28
33;lyon_metro;632500_5068500;URBAINE;15;4375;632500;5068500;633448;5.06786e+06;301;288;28
34;lyon_metro;632500_5071500;RURALE;15;6466;632500;5071500;632957;5.07162e+06;300;285;28
35;lyon_metro;632500_5074500;RURALE;15;9431;632500;5074500;633178;5.07478e+06;267;246;28
36;lyon_metro;632500_5077500;URBAINE;15;1579;632500;5077500;632780;5.07625e+06;165;150;28
37;lyon_metro;632500_5080500;RURALE;0;23;632500;5080500;632792;5.08048e+06;31;29;28
38;lyon_metro;632500_5083500;RURALE;0;77;632500;5083500;633441;5.08408e+06;10;11;28
39;lyon_metro;632500_5086500;RURALE;15;2109;632500;5086500;633833;5.08666e+06;13;14;28
40;lyon_metro;632500_5089500;URBAINE;15;316;632500;5089500;633818;5.08826e+06;11;12;28
41;lyon_metro;635500_5032500;RURALE;0;14;635500;5032500;635227;5.03253e+06;20;21;28
42;lyon_metro;635500_5035500;RURALE;0;22;635500;5035500;635747;5.03542e+06;25;26;28
43;lyon_metro;635500_5038500;RURALE;0;13;635500;5038500;635233;5.0385e+06;21;22;28
44;lyon_metro;635500_5041500;RURALE;0;14;635500;5041500;635279;5.04151e+06;0;0;0
45;lyon_metro;635500_5044500;RURALE;0;12;635500;5044500;635323;5044505;36;38;28
46;lyon_metro;635500_5047500;RURALE;15;3160;635500;5047500;634849;5.04868e+06;266;258;28
47;lyon_metro;635500_5050500;RURALE;15;4963;635500;5050500;635721;5.04964e+06;276;270;28
48;lyon_metro;635500_5053500;RURALE;15;1786;635500;5053500;635199;5.05444e+06;153;153;28
49;lyon_metro;635500_5056500;RURALE;15;5294;635500;5056500;636242;5.05627e+06;105;107;28
50;lyon_metro;635500_5059500;URBAINE;15;257;635500;5059500;636705;5.05839e+06;109;113;28
51;lyon_metro;635500_5062500;URBAINE;0;47;635500;5062500;636110;5.06241e+06;165;163;28
52;lyon_metro;635500_5065500;URBAINE;15;3839;635500;5065500;635835;5.06593e+06;459;425;28
53;lyon_metro;635500_5068500;URBAINE;15;17708;635500;5068500;635571;5.06848e+06;868;790;28
54;lyon_metro;635500_5071500;URBAINE;15;12402;635500;5071500;635468;5.07137e+06;838;761;28
55;lyon_metro;635500_5074500;URBAINE;15;14081;635500;5074500;635653;5.07469e+06;669;609;28
56;lyon_metro;635500_5077500;RURALE;15;7497;635500;5077500;635832;5.07699e+06;402;372;28
57;lyon_metro;635500_5080500;RURALE;15;2927;635500;5080500;635151;5.08049e+06;109;110;28
58;lyon_metro;635500_5083500;RURALE;15;2584;635500;5083500;634545;5.08345e+06;17;21;28
59;lyon_metro;635500_5086500;RURALE;15;2864;635500;5086500;635400;5.08716e+06;19;20;28
60;lyon_metro;635500_5089500;RURALE;15;400;635500;5089500;634300;5.08819e+06;17;18;28
61;lyon_metro;638500_5032500;RURALE;0;31;638500;5032500;638231;5.0332e+06;29;30;28
62;lyon_metro;638500_5035500;URBAINE;15;4561;638500;5035500;638901;5.03564e+06;60;61;28
63;lyon_metro;638500_5038500;RURALE;15;1405;638500;5038500;639351;5.03776e+06;58;60;28
64;lyon_metro;638500_5041500;RURALE;15;403;638500;5041500;639265;5.0428e+06;71;74;28
65;lyon_metro;638500_5044500;RURALE;15;862;638500;5044500;639453;5.0432e+06;82;87;28
66;lyon_metro;638500_5047500;URBAINE;15;1353;638500;5047500;639378;5.04856e+06;404;383;28
67;lyon_metro;638500_5050500;URBAINE;15;14882;638500;5050500;638580;5.05028e+06;497;474;28
68;lyon_metro;638500_5053500;URBAINE;15;4829;638500;5053500;638100;5.05376e+06;407;399;28
69;lyon_metro;638500_5056500;RURALE;15;10174;638500;5056500;639140;5.05657e+06;377;356;28
70;lyon_metro;638500_5059500;URBAINE;15;11260;638500;5059500;638929;5.05976e+06;524;479;28
71;lyon_metro;638500_5062500;URBAINE;15;13385;638500;5062500;638746;5.06227e+06;674;613;28
72;lyon_metro;638500_5065500;URBAINE;15;16938;638500;5065500;638667;5.06563e+06;1050;940;28
73;lyon_metro;638500_5068500;URBAINE;15;24483;638500;5068500;638572;5.06865e+06;1630;1440;28
74;lyon_metro;638500_5071500;URBAINE;15;22986;638500;5071500;638594;5.07132e+06;1506;1347;28
75;lyon_metro;638500_5074500;URBAINE;15;14538;638500;5074500;638300;5.07451e+06;998;913;28
76;lyon_metro;638500_5077500;RURALE;15;14821;638500;5077500;638418;5.07745e+06;679;638;28
