   4.58733809473847        44.2747995637255     	0. 626500_4903500
   4.59457788532983        44.3006272397134     	0. 626500_4906500
   4.58749496605810        44.3262041971961     	0. 626500_4909500
   4.58897553721682        44.5454905158776     	0. 626500_4933500
   4.59087510505175        44.5708513073863     	0. 626500_4936500
   4.58806505517852        44.5943870329706     	0. 626500_4939500
   4.60934410920767        44.7160719593397     	0. 626500_4951500
   4.59876787300503        44.7313444480085     	0. 626500_4954500
   4.59804838325492        44.7561108351103     	0. 626500_4957500
   4.62793760987007        45.2834695966816     	0. 626500_5014500
   4.61397353666134        45.2914991354106     	0. 626500_5017500
   4.61240609674078        45.3243766561114     	0. 626500_5020500
   4.61654264085862        44.2824025567143     	0. 629500_4903500
   4.61374822352815        44.3007180756484     	0. 629500_4906500
   4.63157150264832        44.3268433844983     	0. 629500_4909500
   4.63859688817359        44.3512306366796     	0. 629500_4912500
   4.64265047793129        44.3853831913038     	0. 629500_4915500
   4.64298051602470        44.3989726790070     	0. 629500_4918500
   4.63603365032100        44.4326527551762     	0. 629500_4921500
   4.62443560822386        44.4616270598694     	0. 629500_4924500
   4.63549755653968        44.5466341624760     	0. 629500_4933500
   4.63142489322577        44.5689287604062     	0. 629500_4936500
   4.63222989010418        44.5958978366838     	0. 629500_4939500
   4.63379221411237        44.7104133641783     	0. 629500_4951500
   4.63431751301460        44.7366926324383     	0. 629500_4954500
   4.63765871224988        44.7543792729480     	0. 629500_4957500
   4.66636193261436        45.2466391151306     	0. 629500_5011500
   4.65381058481717        45.2716658637292     	0. 629500_5014500
   4.63969159309362        45.2935631277931     	0. 629500_5017500
   4.65595597588076        44.2721146453196     	0. 632500_4903500
   4.66139989917843        44.3021054490470     	0. 632500_4906500
   4.66020893495925        44.3296716860708     	0. 632500_4909500
   4.66377377951948        44.3634705921732     	0. 632500_4912500
   4.65543447181705        44.3730447690912     	0. 632500_4915500
   4.65049184963626        44.4106580097555     	0. 632500_4918500
   4.66659214571359        44.4358119415457     	0. 632500_4921500
   4.67933961683528        44.4584020664358     	0. 632500_4924500
   4.67928640010020        44.4911726109073     	0. 632500_4927500
   4.68261274805013        44.5093089851465     	0. 632500_4930500
   4.67123675072840        44.5483673045673     	0. 632500_4933500
   4.66529049121997        44.5592572646314     	0. 632500_4936500
   4.66946412174569        44.5946663046384     	0. 632500_4939500
   4.66291131183294        44.7419512099862     	0. 632500_4954500
   4.68080269787739        44.7504214487577     	0. 632500_4957500
   4.67315537951069        44.7852824862768     	0. 632500_4960500
   4.68169910397615        45.2456041140254     	0. 632500_5011500
   4.69201328115908        45.2655251987656     	0. 632500_5014500
   4.69103553938035        45.2974050451560     	0. 632500_5017500
   4.69391920446322        44.3025280094914     	0. 635500_4906500
   4.68719432197571        44.3299063812041     	0. 635500_4909500
   4.69715386893663        44.3577577225565     	0. 635500_4912500
   4.69887445940916        44.3769081769974     	0. 635500_4915500
   4.70326563819544        44.4079924461603     	0. 635500_4918500
   4.70692018328819        44.4343159530916     	0. 635500_4921500
   4.69380231961208        44.4590887184951     	0. 635500_4924500
   4.70568324990472        44.4859199108348     	0. 635500_4927500
   4.69724775077182        44.5180950095942     	0. 635500_4930500
   4.69740290757066        44.5472611160438     	0. 635500_4933500
   4.70105962160392        44.5707933999023     	0. 635500_4936500
   4.71174341420087        44.5953906698163     	0. 635500_4939500
   4.72330562466468        44.6118713563898     	0. 635500_4942500
   4.70706261993409        44.6506458601029     	0. 635500_4945500
   4.71214320075400        44.7109757686157     	0. 635500_4951500
   4.71886297802015        44.7247383871540     	0. 635500_4954500
   4.71180259580298        44.7580629272041     	0. 635500_4957500
   4.71250661154462        44.7814582286789     	0. 635500_4960500
   4.72813807394584        45.2541823050673     	0. 635500_5011500
   4.71888311588951        45.2739453645393     	0. 635500_5014500
   4.73672648717604        45.2984295076146     	0. 635500_5017500
   4.73830650188413        45.3209091544340     	0. 635500_5020500
   4.73856025797466        45.3517172123394     	0. 635500_5023500
   4.74675989293344        45.3825298624488     	0. 635500_5026500
   4.73307590885754        44.3001398875915     	0. 638500_4906500
   4.73938039470430        44.3336248642568     	0. 638500_4909500
   4.73861609136876        44.3531727210099     	0. 638500_4912500
   4.73608388809472        44.3795895457725     	0. 638500_4915500
   4.73764247964328        44.4076545538040     	0. 638500_4918500
   4.73830090756705        44.4341126287914     	0. 638500_4921500
   4.74639360540558        44.4564959387117     	0. 638500_4924500
   4.74644087306933        44.4880045932230     	0. 638500_4927500
   4.73733701423311        44.5151513886950     	0. 638500_4930500
   4.74450650538212        44.5420498711891     	0. 638500_4933500
   4.74594845181063        44.5654344930846     	0. 638500_4936500
   4.75206937658429        44.5952291100395     	0. 638500_4939500
   4.74674811509852        44.6211477707947     	0. 638500_4942500
   4.75626319704022        44.6490894331883     	0. 638500_4945500
