i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
1441	01/03/2008	00:00	3.90	180.0	2.16	12.90	245.5	0.36	6.18	6.0	-28.06	144.95	0.065	0.00e+00	3.71e-04
1442	01/03/2008	01:00	4.10	180.0	2.28	12.40	268.3	0.38	6.03	6.0	-29.92	164.01	0.065	0.00e+00	3.69e-04
1443	01/03/2008	02:00	4.50	190.0	2.51	12.60	344.6	0.43	5.76	7.0	-29.24	247.81	0.056	0.00e+00	3.70e-04
1444	01/03/2008	03:00	3.50	170.0	1.95	12.50	222.4	0.32	6.51	7.0	-21.52	134.05	0.056	0.00e+00	3.69e-04
1445	01/03/2008	04:00	3.60	190.0	2.01	12.80	267.4	0.34	6.42	8.0	-18.60	189.02	0.045	0.00e+00	3.71e-04
1446	01/03/2008	05:00	3.20	190.0	1.75	12.80	182.0	0.28	6.84	7.0	-18.68	101.41	0.056	0.00e+00	3.71e-04
1447	01/03/2008	06:00	3.00	170.0	1.66	12.70	190.7	0.27	7.02	8.0	-14.68	117.65	0.045	0.00e+00	3.70e-04
1448	01/03/2008	07:00	4.00	200.0	2.24	13.00	1194.3	0.41	6.15	8.0	1.91	-3263.19	-0.004	2.12e-04	3.72e-04
1449	01/03/2008	08:00	5.20	180.0	2.89	12.60	1561.5	0.54	5.41	8.0	16.50	-845.31	-0.025	7.85e-04	3.70e-04
1450	01/03/2008	09:00	4.40	200.0	2.44	13.50	1591.9	0.47	5.91	8.0	29.44	-304.37	-0.052	1.21e-03	3.74e-04
1451	01/03/2008	10:00	2.30	220.0	1.28	14.40	1624.6	0.28	8.23	8.0	39.27	-48.28	-0.117	1.50e-03	3.79e-04
1452	01/03/2008	11:00	1.70	60.0	1.03	15.20	1661.0	0.24	9.17	8.0	45.42	-27.44	-0.157	1.66e-03	3.83e-04
1453	01/03/2008	12:00	4.50	320.0	2.49	15.30	1703.7	0.48	5.86	8.0	47.47	-209.30	-0.082	1.72e-03	3.84e-04
1454	01/03/2008	13:00	6.50	320.0	3.59	15.20	1982.1	0.69	4.87	7.0	93.33	-305.70	-0.113	3.48e-03	3.83e-04
1455	01/03/2008	14:00	5.70	330.0	3.15	16.20	2042.8	0.61	5.21	7.0	80.63	-244.67	-0.111	3.14e-03	3.88e-04
1456	01/03/2008	15:00	6.80	320.0	3.76	16.40	2115.6	0.72	4.76	5.0	94.60	-341.68	-0.111	4.10e-03	3.90e-04
1457	01/03/2008	16:00	6.10	320.0	3.38	16.80	2158.8	0.64	5.02	4.0	55.86	-413.66	-0.073	2.92e-03	3.92e-04
1458	01/03/2008	17:00	2.90	330.0	1.62	15.10	2161.0	0.30	7.22	4.0	2.04	-1196.29	-0.006	7.86e-04	3.83e-04
1459	01/03/2008	18:00	1.00	0.0	1.00	13.60	88.9	0.09	11.99	5.0	-1.69	90.00	0.016	0.00e+00	3.75e-04
1460	01/03/2008	19:00	2.80	30.0	1.52	11.40	158.3	0.24	7.31	5.0	-20.96	90.00	0.072	0.00e+00	3.63e-04
1461	01/03/2008	20:00	1.00	100.0	1.00	12.60	88.9	0.09	11.99	6.0	-1.69	90.00	0.016	0.00e+00	3.70e-04
1462	01/03/2008	21:00	3.00	330.0	1.63	11.90	164.3	0.25	7.07	6.0	-19.97	90.00	0.065	0.00e+00	3.66e-04
1463	01/03/2008	22:00	2.20	360.0	1.21	11.90	138.7	0.19	8.21	7.0	-12.42	90.00	0.054	0.00e+00	3.66e-04
1464	01/03/2008	23:00	2.60	360.0	1.42	10.60	152.0	0.22	7.58	7.0	-15.01	90.00	0.056	0.00e+00	3.59e-04
1465	02/03/2008	00:00	2.10	120.0	1.16	9.00	135.2	0.18	8.40	8.0	-9.96	90.00	0.045	0.00e+00	3.51e-04
1466	02/03/2008	01:00	1.00	40.0	1.00	9.10	88.9	0.09	11.99	8.0	-1.69	90.00	0.016	0.00e+00	3.52e-04
