	            vitesse	direction	temperature	nebulosité	precipitation
01/01/2008 00:00	2.1	360	0.4	8	0
01/01/2008 01:00	2.4	10	1.3	8	0
01/01/2008 02:00	3.5	10	1.4	8	0
01/01/2008 03:00	3	10	1.3	8	0
01/01/2008 04:00	2	10	1.6	8	0
01/01/2008 05:00	1.5	110	0.7	7	0
01/01/2008 06:00	1.8	120	0.2	8	0
01/01/2008 07:00	1.8	120	0	8	0
01/01/2008 08:00	2.1	90	0.1	7	0
01/01/2008 09:00	1.9	100	0.2	8	0
01/01/2008 10:00	1.9	80	0.5	8	0
01/01/2008 11:00	1.8	110	0.9	7	0
01/01/2008 12:00	1.6	80	1.1	7	0
01/01/2008 13:00	0.8	60	1.5	7	0
01/01/2008 14:00	2	60	1.6	7	0
01/01/2008 15:00	2.1	50	1.2	7	0
01/01/2008 16:00	2.2	60	0.9	7	0
01/01/2008 17:00	2.1	70	0.7	8	0
01/01/2008 18:00	1.8	80	0.7	8	0
01/01/2008 19:00	1.4	110	0.4	8	0
01/01/2008 20:00	0.5	30	0.3	8	0
01/01/2008 21:00	0	0	0.2	8	0
01/01/2008 22:00	1.4	130	-0.3	8	0
01/01/2008 23:00	0.5	110	-0.6	8	0
02/01/2008 00:00	1.2	120	-0.8	8	0
02/01/2008 01:00	0	0	-1.9	8	0
02/01/2008 02:00	1	140	-1.8	8	0
02/01/2008 03:00	0	0	-1.6	8	0
02/01/2008 04:00	0.9	120	-1.6	7	0
02/01/2008 05:00	1.1	100	-1.9	6	0
02/01/2008 06:00	0.9	100	-2.3	7	0
02/01/2008 07:00	0	0	-2.5	2	0
02/01/2008 08:00	0	0	-2.8	3	0
02/01/2008 09:00	0	0	-1.2	5	0
02/01/2008 10:00	0	0	-0.2	5	0
02/01/2008 11:00	0.7	340	0.8	6	0
02/01/2008 12:00	0.8	270	2.9	6	0
02/01/2008 13:00	1.2	360	4.1	5	0
02/01/2008 14:00	1.6	360	5	4	0
02/01/2008 15:00	1.2	10	4.6	6	0
02/01/2008 16:00	0.5	120	3.7	7	0
02/01/2008 17:00	2.2	130	4.3	7	0
02/01/2008 18:00	2.5	120	3.7	7	0
02/01/2008 19:00	3.1	130	3.7	7	0
02/01/2008 20:00	3.1	130	2.8	7	0
02/01/2008 21:00	0.8	80	2.7	8	0
02/01/2008 22:00	1.7	330	2.3	8	0
02/01/2008 23:00	1.3	50	2.1	8	0
03/01/2008 00:00	2	120	3.1	8	0
03/01/2008 01:00	3.3	120	3.2	8	0
03/01/2008 02:00	3.6	120	3.2	8	0
03/01/2008 03:00	0.8	260	3.1	8	0
03/01/2008 04:00	2.3	120	2.6	8	0
03/01/2008 05:00	2.8	100	2.4	8	0.2
03/01/2008 06:00	3.8	120	2.3	8	0.6
03/01/2008 07:00	1.3	30	2.4	8	0.2
03/01/2008 08:00	1.8	180	2.6	8	0
03/01/2008 09:00	3.8	120	3.5	8	0
03/01/2008 10:00	4.7	130	5.5	6	0
03/01/2008 11:00	4.1	130	7.4	6	0
03/01/2008 12:00	4.2	120	6.8	6	0
03/01/2008 13:00	3.4	100	7.6	7	0
03/01/2008 14:00	3.2	120	9.6	7	0
03/01/2008 15:00	3.4	130	8.8	7	0
03/01/2008 16:00	3.3	130	8.9	7	0
03/01/2008 17:00	5.3	170	10.7	7	0
03/01/2008 18:00	2.2	100	9.6	7	0
03/01/2008 19:00	1	110	6.9	7	0
03/01/2008 20:00	1.6	130	6.3	7	0
03/01/2008 21:00	2.3	120	6.3	7	0
03/01/2008 22:00	3	110	5.7	7	0
03/01/2008 23:00	2.3	100	5.4	8	0
04/01/2008 00:00	2.1	300	5.4	8	0
04/01/2008 01:00	2.3	40	4.4	8	0
04/01/2008 02:00	2.2	340	4.7	8	0
04/01/2008 03:00	2.7	350	4.7	8	0
04/01/2008 04:00	1.6	70	4.3	8	0
04/01/2008 05:00	1.2	350	4.2	8	0
04/01/2008 06:00	1.1	320	3.9	8	0.2
04/01/2008 07:00	1.4	80	3.7	6	0
04/01/2008 08:00	1.1	50	3.5	8	0
04/01/2008 09:00	1.2	330	3.7	8	0
04/01/2008 10:00	0.8	40	4.6	8	0
04/01/2008 11:00	2.9	130	5.5	8	0
04/01/2008 12:00	1.6	90	6.2	8	0.2
04/01/2008 13:00	2.9	140	8.6	7	0
04/01/2008 14:00	4.5	170	10.1	6	0
04/01/2008 15:00	4	160	9.7	7	0
04/01/2008 16:00	2.3	110	7.6	7	0
04/01/2008 17:00	3	200	7.8	7	0
04/01/2008 18:00	3.2	240	7.6	7	0
04/01/2008 19:00	1.9	160	7.6	7	0
04/01/2008 20:00	2.1	120	6.9	7	0
04/01/2008 21:00	1.6	80	6.1	7	0
04/01/2008 22:00	1.5	120	6.1	7	0
04/01/2008 23:00	3.4	140	6.7	7	0.2
05/01/2008 00:00	5.8	140	7	6	0.6
05/01/2008 01:00	5.5	170	8	6	0
05/01/2008 02:00	1.5	270	7.6	6	0
05/01/2008 03:00	2.1	360	7.4	6	0
05/01/2008 04:00	4.1	160	7.8	6	0
05/01/2008 05:00	5.8	180	8.9	6	0
05/01/2008 06:00	7.2	200	9.8	6	0
05/01/2008 07:00	6.6	180	9.5	7	0
05/01/2008 08:00	7.2	190	9.6	7	0
05/01/2008 09:00	8.2	190	10.3	7	0
05/01/2008 10:00	9.9	190	10.4	7	0
05/01/2008 11:00	9.3	190	10.8	7	0.2
05/01/2008 12:00	10.5	190	11	8	0
05/01/2008 13:00	10.4	190	10.7	8	0
05/01/2008 14:00	10.3	190	10.4	8	0
05/01/2008 15:00	9.5	180	10	8	0
05/01/2008 16:00	10.9	190	10	8	0.2
05/01/2008 17:00	10.5	190	9.6	8	0.8
05/01/2008 18:00	9.2	190	9.4	8	2
05/01/2008 19:00	8.9	200	9.2	7	2
05/01/2008 20:00	8.9	200	9.3	6	1.4
05/01/2008 21:00	13.8	180	9.7	6	1.2
05/01/2008 22:00	14.5	180	10.1	6	0.4
05/01/2008 23:00	13.9	190	10.2	6	0.2
06/01/2008 00:00	12.4	180	10.1	6	0.2
06/01/2008 01:00	12.6	190	10.4	8	0
06/01/2008 02:00	11.4	190	10.8	8	0
06/01/2008 03:00	11.2	190	10.6	8	0
06/01/2008 04:00	6	200	9.5	8	1.8
06/01/2008 05:00	3.7	180	9.2	6	0.2
06/01/2008 06:00	2.4	180	9.1	7	0
06/01/2008 07:00	2.3	240	9.1	7	0
06/01/2008 08:00	1	160	9	7	0
06/01/2008 09:00	1.4	210	9.3	7	0
06/01/2008 10:00	1	190	9.8	7	0
06/01/2008 11:00	1	180	10.3	8	0
06/01/2008 12:00	2.2	180	10.8	8	0
06/01/2008 13:00	3.3	190	10.6	8	0
06/01/2008 14:00	1.5	210	10.5	8	0.2
06/01/2008 15:00	0.9	180	10.5	8	0
06/01/2008 16:00	0.7	150	10.1	8	0
06/01/2008 17:00	1.4	190	9.6	8	0.4
06/01/2008 18:00	1.4	180	9.6	7	0.6
06/01/2008 19:00	3	170	9.7	7	1.6
06/01/2008 20:00	3.7	190	10	8	0.6
06/01/2008 21:00	1.2	200	10.1	7	0.2
06/01/2008 22:00	2.2	170	10.1	7	0
06/01/2008 23:00	1.8	120	9.9	7	0.2
07/01/2008 00:00	2	170	9.9	8	0.4
07/01/2008 01:00	2.5	180	10.4	6	0
07/01/2008 02:00	4.8	180	10.7	6	0
07/01/2008 03:00	3.9	200	10.6	7	0
07/01/2008 04:00	5.3	190	10.6	8	0.6
07/01/2008 05:00	5.9	180	10.7	8	0.2
07/01/2008 06:00	5.6	190	10.8	8	0
07/01/2008 07:00	5.1	200	10.8	8	0
07/01/2008 08:00	2.3	220	11	8	0.2
07/01/2008 09:00	1.4	350	11.2	7	0.4
07/01/2008 10:00	2.8	340	11.5	7	0
07/01/2008 11:00	1.6	360	12.5	5	0
07/01/2008 12:00	4.7	350	13.4	3	0
07/01/2008 13:00	3	330	12.8	3	0
07/01/2008 14:00	4.3	330	12.7	6	0
07/01/2008 15:00	1.8	20	11.3	3	0
07/01/2008 16:00	0.9	70	10.4	2	0
07/01/2008 17:00	1.3	40	8.1	2	0
07/01/2008 18:00	1.7	30	7.1	2	0
07/01/2008 19:00	1.1	200	5.4	2	0
07/01/2008 20:00	0.5	190	4.1	2	0
07/01/2008 21:00	1	260	3.7	2	0
07/01/2008 22:00	1.1	180	2.7	2	0
07/01/2008 23:00	1.1	160	2.2	1	0
08/01/2008 00:00	0.5	190	1.6	1	0
08/01/2008 01:00	0.7	130	1	1	0
08/01/2008 02:00	1.3	110	0.5	0	0
08/01/2008 03:00	0	0	0	0	0
08/01/2008 04:00	0.9	140	-0.5	0	0
08/01/2008 05:00	0	0	-1	0	0
08/01/2008 06:00	0	0	-1.1	0	0
08/01/2008 07:00	0.5	80	-1.1	0	0
08/01/2008 08:00	2	90	-0.4	0	0
08/01/2008 09:00	1.1	60	0.2	1	0
08/01/2008 10:00	1.3	320	0.5	3	0
08/01/2008 11:00	1.5	40	1.9	5	0
08/01/2008 12:00	1.5	330	4.4	1	0
08/01/2008 13:00	1.8	360	5.8	1	0
08/01/2008 14:00	1.5	350	6.4	1	0
08/01/2008 15:00	1.7	60	6.9	6	0
08/01/2008 16:00	1.1	70	5.2	6	0
08/01/2008 17:00	1	100	3.9	6	0
08/01/2008 18:00	0.7	120	3.3	6	0
08/01/2008 19:00	0	0	2.9	6	0
08/01/2008 20:00	0.9	120	2.7	6	0
08/01/2008 21:00	0.9	140	2.7	6	0
08/01/2008 22:00	0	0	2.4	7	0
08/01/2008 23:00	4.9	200	6.6	7	0
09/01/2008 00:00	3.7	200	9.4	7	0
09/01/2008 01:00	9.1	180	9.7	7	0
09/01/2008 02:00	8.8	190	9.6	8	0
09/01/2008 03:00	7.8	190	9.5	8	0
09/01/2008 04:00	9.9	180	9.2	8	0
09/01/2008 05:00	7.1	200	9.3	8	0
09/01/2008 06:00	7.9	190	8.9	8	0.4
09/01/2008 07:00	6.2	200	8.6	8	0.2
09/01/2008 08:00	5.4	190	8.3	8	1.6
09/01/2008 09:00	4.9	190	7.9	8	1.6
09/01/2008 10:00	6.3	180	8.7	8	0.8
09/01/2008 11:00	6.1	190	8.9	8	0.4
09/01/2008 12:00	6.6	180	9	8	0.8
09/01/2008 13:00	5.7	190	9.2	7	0.4
09/01/2008 14:00	6.2	190	10	7	0
09/01/2008 15:00	6.6	190	9.7	7	0
09/01/2008 16:00	6.5	180	9.2	6	0
09/01/2008 17:00	3.5	190	8.6	6	0
09/01/2008 18:00	1.5	140	7	6	0
09/01/2008 19:00	2.1	170	7.1	6	0
09/01/2008 20:00	0	0	5.8	7	0
09/01/2008 21:00	1	140	3.8	7	0
09/01/2008 22:00	0	0	3.2	8	0
09/01/2008 23:00	0	0	3.4	8	0
10/01/2008 00:00	1.7	110	4.5	8	0
10/01/2008 01:00	1.4	130	5.1	8	0
10/01/2008 02:00	1.5	170	6.1	8	0
10/01/2008 03:00	2.7	190	6.3	8	0
10/01/2008 04:00	1.9	200	6	8	0
10/01/2008 05:00	2.7	200	6.5	8	0
10/01/2008 06:00	4.4	190	6.7	8	0
10/01/2008 07:00	3.8	190	6.9	8	0
10/01/2008 08:00	3.4	180	7	7	0
10/01/2008 09:00	2.8	170	7.4	7	0
10/01/2008 10:00	2.1	250	7.7	6	0
10/01/2008 11:00	2.1	200	9.6	2	0
10/01/2008 12:00	3.6	210	12	2	0
10/01/2008 13:00	7	190	13.9	3	0
10/01/2008 14:00	8.8	190	13.4	5	0
10/01/2008 15:00	6.6	200	12.3	6	0
10/01/2008 16:00	8.8	190	11.4	7	0
10/01/2008 17:00	8.4	190	10.9	7	0
10/01/2008 18:00	8.2	190	10.9	8	0
10/01/2008 19:00	7.3	180	10.6	8	0
10/01/2008 20:00	6.5	170	10.3	8	0
10/01/2008 21:00	5.3	200	10.3	8	0
10/01/2008 22:00	6.9	200	10.4	8	0
10/01/2008 23:00	5.7	190	10.4	7	0
11/01/2008 00:00	7.6	190	10.5	7	0
11/01/2008 01:00	7.3	190	10.5	6	0
11/01/2008 02:00	6.8	180	10.8	6	0
11/01/2008 03:00	5	180	10.8	8	0
11/01/2008 04:00	3.6	180	11	8	0
11/01/2008 05:00	3.7	180	11.3	7	0
11/01/2008 06:00	3.2	160	10.5	6	0
11/01/2008 07:00	4	170	10.9	6	0
11/01/2008 08:00	8	200	12.4	7	0
11/01/2008 09:00	6.3	190	12.3	7	0
11/01/2008 10:00	5.6	190	13	7	0
11/01/2008 11:00	12.9	190	15.1	6	0
11/01/2008 12:00	12.8	190	15	5	0
11/01/2008 13:00	15.1	180	14.2	6	0
11/01/2008 14:00	15.1	190	14.3	7	0
11/01/2008 15:00	15.2	180	13.9	7	0
11/01/2008 16:00	11.8	180	13.6	7	0
11/01/2008 17:00	9.3	190	13.6	7	0
11/01/2008 18:00	11.7	190	12.9	7	0
11/01/2008 19:00	13.5	190	13.1	7	0
11/01/2008 20:00	13.7	200	12.8	7	0
11/01/2008 21:00	11.8	200	13.2	7	0
11/01/2008 22:00	7	290	5.7	7	5.8
11/01/2008 23:00	0.9	120	4.9	7	6.2
12/01/2008 00:00	4.5	100	4.5	7	3.2
12/01/2008 01:00	3.6	120	3.2	6	0.2
12/01/2008 02:00	3.7	140	3.3	6	0.4
12/01/2008 03:00	3.3	140	3.5	6	1.2
12/01/2008 04:00	2.6	180	3.8	7	0.6
12/01/2008 05:00	2.9	190	3.6	8	1
12/01/2008 06:00	2	180	3.5	8	0.8
12/01/2008 07:00	1	160	3.5	7	0
12/01/2008 08:00	0.9	190	3.7	7	0
12/01/2008 09:00	1.3	120	3.8	7	0
12/01/2008 10:00	0	0	4.4	6	0
12/01/2008 11:00	0.7	20	5.3	7	0
12/01/2008 12:00	2.4	20	6.4	7	0.2
12/01/2008 13:00	2	360	6.5	7	0.2
12/01/2008 14:00	3.7	330	7.2	5	0
12/01/2008 15:00	5.4	330	7.7	4	0
12/01/2008 16:00	5	350	6.9	3	0
12/01/2008 17:00	4.3	340	5.7	3	0
12/01/2008 18:00	4.6	330	5.2	3	0
12/01/2008 19:00	3.3	330	4.9	3	0
12/01/2008 20:00	2.4	10	3.1	3	0
12/01/2008 21:00	0	0	2.2	8	0
12/01/2008 22:00	0.9	360	1	8	0
12/01/2008 23:00	0	0	0.6	8	0
13/01/2008 00:00	1.3	350	0.1	6	0
13/01/2008 01:00	1	350	-0.3	0	0
13/01/2008 02:00	1.9	330	0.3	0	0
13/01/2008 03:00	0	0	0.3	0	0
13/01/2008 04:00	0.7	150	-1.1	0	0
13/01/2008 05:00	0.9	260	-1	0	0
13/01/2008 06:00	1.7	260	-1.3	0	0
13/01/2008 07:00	0.8	160	-1.7	1	0
13/01/2008 08:00	0.9	160	-1.7	1	0
13/01/2008 09:00	1.2	140	1.6	0	0
13/01/2008 10:00	0.6	280	3.9	0	0
13/01/2008 11:00	0.7	250	5.9	1	0
13/01/2008 12:00	2.1	190	6.6	1	0
13/01/2008 13:00	2.5	170	7.5	2	0
13/01/2008 14:00	3.4	160	7.6	1	0
13/01/2008 15:00	3.3	150	7.8	3	0
13/01/2008 16:00	2	140	6.1	4	0
13/01/2008 17:00	4.4	130	5.4	4	0
13/01/2008 18:00	3.1	150	6.1	4	0
13/01/2008 19:00	6.1	170	7.1	4	0
13/01/2008 20:00	5.6	160	7.9	4	0
13/01/2008 21:00	6.6	180	8.3	7	0
13/01/2008 22:00	8.3	180	8.6	7	0
13/01/2008 23:00	5.8	170	8.4	7	0
14/01/2008 00:00	7.4	190	8.5	7	0
14/01/2008 01:00	7.2	180	8.8	7	0
14/01/2008 02:00	9.6	190	8.8	7	0
14/01/2008 03:00	8.8	200	9.1	7	0
14/01/2008 04:00	10.5	210	9.1	7	0
14/01/2008 05:00	9.4	190	9.1	7	0
14/01/2008 06:00	6.9	200	8.8	7	0
14/01/2008 07:00	5.7	200	8.9	7	0
14/01/2008 08:00	5.6	190	8.8	7	0
14/01/2008 09:00	6.2	190	9	7	0
14/01/2008 10:00	5.1	190	8.9	7	0
14/01/2008 11:00	4.7	170	8.8	8	0
14/01/2008 12:00	3.5	140	8.6	8	0
14/01/2008 13:00	5.5	190	8.8	7	0
14/01/2008 14:00	3.6	170	8.8	7	0
14/01/2008 15:00	5.4	200	8.2	7	0.4
14/01/2008 16:00	3.5	160	8	7	0.8
14/01/2008 17:00	4.2	170	8.2	7	0
14/01/2008 18:00	3.2	170	7.9	6	0
14/01/2008 19:00	4	160	7.8	6	0
14/01/2008 20:00	2.3	140	7.1	6	0
14/01/2008 21:00	3.2	160	7	6	0
14/01/2008 22:00	1.5	130	6.9	6	0
14/01/2008 23:00	0.5	200	4.5	7	0
15/01/2008 00:00	1.8	140	3.5	7	0
15/01/2008 01:00	1.4	110	2.6	7	0
15/01/2008 02:00	1	90	2.1	7	0
15/01/2008 03:00	1.2	120	1.5	7	0
15/01/2008 04:00	1.8	160	1.4	7	0
15/01/2008 05:00	1.2	140	0.7	7	0
